0.01,3
0.015,3.125
0.02,3.1138
0.020649,3.1443
0.021298,3.1556
0.021947,3.1651
0.022596,3.1738
0.023245,3.1821
0.023894,3.1899
0.024543,3.1972
0.025193,3.2045
0.025842,3.2113
0.026491,3.2179
0.02714,3.2244
0.027789,3.2306
0.028438,3.2367
0.029087,3.2426
0.029736,3.2484
0.030385,3.254
0.031034,3.2594
0.031683,3.2647
0.032332,3.27
0.032981,3.275
0.03363,3.28
0.03428,3.2849
0.034929,3.2897
0.035578,3.2944
0.036227,3.2989
0.036876,3.3035
0.037525,3.308
0.038174,3.3121
0.038823,3.3165
0.039472,3.3206
0.040121,3.3247
0.04077,3.3288
0.041419,3.3329
0.042068,3.3367
0.042717,3.3405
0.043366,3.3444
0.044016,3.3481
0.044665,3.3518
0.045314,3.3554
0.045963,3.359
0.046612,3.3625
0.047261,3.3659
0.04791,3.3695
0.048559,3.3727
0.049208,3.3761
0.049857,3.3793
0.050506,3.3826
0.051155,3.3857
0.051804,3.389
0.052453,3.3921
0.053102,3.3951
0.053752,3.3981
0.054401,3.4011
0.05505,3.4042
0.055699,3.407
0.056348,3.4098
0.056997,3.4127
0.057646,3.4156
0.058295,3.4183
0.058944,3.421
0.059593,3.4237
0.060242,3.4263
0.060891,3.4289
0.06154,3.4316
0.062189,3.4342
0.062839,3.4366
0.063488,3.4392
0.064137,3.4417
0.064786,3.444
0.065435,3.4464
0.066084,3.4488
0.066733,3.4512
0.067382,3.4535
0.068031,3.4556
0.06868,3.458
0.069329,3.4601
0.069978,3.4622
0.070627,3.4643
0.071276,3.4665
0.071925,3.4684
0.072575,3.4704
0.073224,3.4722
0.073873,3.474
0.074522,3.4757
0.075171,3.4775
0.07582,3.479
0.076469,3.4806
0.077118,3.4819
0.077767,3.4832
0.078416,3.4843
0.079065,3.4853
0.079714,3.4862
0.080363,3.487
0.081012,3.4877
0.081661,3.4883
0.082311,3.4889
0.08296,3.4894
0.083609,3.4898
0.084258,3.4903
0.084907,3.4907
0.085556,3.4911
0.086205,3.4915
0.086854,3.4918
0.087503,3.4923
0.088152,3.4927
0.088801,3.493
0.08945,3.4935
0.090099,3.4938
0.090748,3.4941
0.091398,3.4945
0.092047,3.4949
0.092696,3.4951
0.093345,3.4955
0.093994,3.4959
0.094643,3.4961
0.095292,3.4964
